,Winter,Annual,STUSAB
0,0.4585255731922332,-0.0350476190476194,AL
1,1.3883880070546777,1.3198800705467393,AZ
2,0.5322469135802471,0.2140740740740683,AR
3,1.412430335097001,1.480560846560853,CA
4,1.8387583774250376,1.4385890652557287,CO
5,2.6339753086419733,1.801492063492066,CT
6,2.201001763668426,1.6616825396825403,DE
7,1.3002328042328009,1.0348783068783085,FL
8,1.1093615520282212,0.384049382716051,GA
9,1.4099047619047584,1.046917107583773,ID
10,1.30874074074074,0.8144197530864254,IL
11,1.2805643738977033,0.7126102292768943,IN
12,1.4116966490299827,0.6472839506172755,IA
13,1.5539611992945277,0.8594991181657884,KS
14,0.8768395061728332,0.3200917107583831,KY
15,0.353876543209873,0.2443421516754917,LA
16,2.88275132275132,1.744620811287477,ME
17,1.8783209876543183,1.3532592592592572,MD
18,2.43516049382716,1.7006525573192215,MA
19,2.4637883597883605,1.5768994708994757,MI
20,2.7165855379188706,1.5551887125220427,MN
21,0.3392028218694943,0.0119259259259169,MS
22,1.2007336860670144,0.4909947089947188,MO
23,2.260924162257495,1.4211252204585525,MT
24,1.8102857142857167,0.9896014109347452,NE
25,1.4613051146384444,1.2989559082892397,NV
26,2.579851851851853,1.622430335096999,NH
27,2.7489382716049398,1.9772768959435687,NJ
28,1.370483245149911,1.1593298059964772,NM
29,2.096084656084657,1.2042045855379218,NY
30,1.1622574955908325,0.622179894179892,NC
31,3.145932980599648,1.654430335097001,ND
32,1.3810229276895911,0.8253156966490305,OH
33,0.944070546737208,0.3584021164021158,OK
34,1.819386243386244,1.5006490299823665,OR
35,1.7283809523809492,0.9679858906525556,PA
36,2.680028218694884,2.0388677248677185,RI
37,1.1094320987654336,0.5454744268077641,SC
38,2.3151463844797133,1.2520776014109387,SD
39,0.7037601410934745,0.2429876543209923,TN
40,1.1412627865961191,0.7523703703703724,TX
41,1.819442680776012,1.5802292768959425,UT
42,2.5948924162257505,1.5465573192239883,VT
43,1.3440705467372192,0.7800458553791804,VA
44,1.558631393298057,1.0427724867724937,WA
45,0.980543209876538,0.4981164021164036,WV
46,2.317940035273369,1.1576543209876564,WI
47,2.034271604938268,1.5087548500881889,WY
